ResultID,ApprovedAt,EmissionSourceID,EntryDate,IsApproved,MeasurementDate,ParameterCode,Remark,Unit,Value,type
1,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1276.12,air
2,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,43,air
3,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,126,air
4,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.39,air
5,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,120,air
6,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
7,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,510,air
8,2025-11-22 10:16:29.1633333,2,2025-11-22 10:16:29.1633333,-1,2024-03-11 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,308,air
9,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1227.375,air
10,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,36.7,air
11,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,95,air
12,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.47,air
13,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,116,air
14,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
15,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,508,air
16,2025-11-22 10:18:13.6700000,3,2025-11-22 10:18:13.6700000,-1,2024-03-11 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,306,air
17,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1424.103,air
18,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,52.9,air
19,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,126,air
20,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.95,air
21,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,110,air
22,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
23,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,520,air
24,2025-11-22 10:20:26.8300000,4,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,304,air
25,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1351.814,air
26,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,45.7,air
27,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,106,air
28,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.51,air
29,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,109,air
30,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
31,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,516,air
32,2025-11-22 10:20:26.8300000,5,2025-11-22 10:20:26.8300000,-1,2024-03-11 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,298,air
33,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1282.414,air
34,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,43.2,air
35,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,125,air
36,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.51,air
37,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,132,air
38,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
39,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,496,air
40,2025-11-22 10:22:35.6533333,2,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,300,air
41,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS01,Ð?t yêu c?u,m³/h,1201.144,air
42,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS02,Ð?t yêu c?u,mmH2O,35.2,air
43,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS03,Ð?t yêu c?u,°C,96,air
44,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS04,Ð?t yêu c?u,%,8.35,air
45,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS05,Ð?t yêu c?u,mg/Nm³,128,air
46,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS06,Ð?t yêu c?u,mg/Nm³,75,air
47,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS07,Ð?t yêu c?u,mg/Nm³,497,air
48,2025-11-22 10:22:35.6533333,3,2025-11-22 10:22:35.6533333,-1,2024-03-19 10:00:00.0000000,TS08,Ð?t yêu c?u,mg/Nm³,298,air
